image_path,identity
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\063947.jpg,8971
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\095214.jpg,8971
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\100910.jpg,5190
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\075922.jpg,5190
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\110452.jpg,8748
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\027560.jpg,8748
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\110619.jpg,9144
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\060847.jpg,9144
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\053036.jpg,4936
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\086276.jpg,4936
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\160876.jpg,6136
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\137411.jpg,6136
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\124790.jpg,1128
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\076022.jpg,1128
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\094493.jpg,5922
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\004831.jpg,5922
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057291.jpg,6719
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\086437.jpg,6719
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\046007.jpg,5656
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\131371.jpg,5656
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\025981.jpg,5780
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\023770.jpg,5780
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\151842.jpg,3336
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\048063.jpg,3336
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\135159.jpg,494
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\060910.jpg,494
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\008422.jpg,6368
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\086321.jpg,6368
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\131944.jpg,9910
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\016530.jpg,9910
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\120276.jpg,1149
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\007032.jpg,1149
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\161311.jpg,8834
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\086818.jpg,8834
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\075060.jpg,5210
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\044165.jpg,5210
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\166783.jpg,1120
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\180373.jpg,1120
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\180484.jpg,1154
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\173244.jpg,1154
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\194851.jpg,6195
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\195994.jpg,6195
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\194288.jpg,8415
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\186666.jpg,8415
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\194121.jpg,8936
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\200501.jpg,8936
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\049040.jpg,2814
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\106488.jpg,2814
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\019144.jpg,1147
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\150624.jpg,1147
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\105054.jpg,8091
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\128100.jpg,8091
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\071822.jpg,5648
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\047019.jpg,5648
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\165906.jpg,190
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\162991.jpg,190
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\182161.jpg,205
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\163048.jpg,205
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\003089.jpg,8
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\094456.jpg,8
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\078744.jpg,655
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\123286.jpg,655
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\062567.jpg,6086
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\152667.jpg,6086
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\166563.jpg,2177
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\171181.jpg,2177
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\168157.jpg,4069
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\177316.jpg,4069
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\169333.jpg,3236
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\167477.jpg,3236
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\123782.jpg,898
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\097178.jpg,898
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\150873.jpg,644
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\135117.jpg,644
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\087573.jpg,9688
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\008377.jpg,9688
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\189151.jpg,5575
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\185214.jpg,5575
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\106067.jpg,9000
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\115799.jpg,9000
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\102286.jpg,6170
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\016599.jpg,6170
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\042662.jpg,5534
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\139263.jpg,5534
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\158097.jpg,7253
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\004369.jpg,7253
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\017010.jpg,4196
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\093680.jpg,4196
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\036253.jpg,9828
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\084243.jpg,9828
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\092880.jpg,5064
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\148718.jpg,5064
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\163472.jpg,3877
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\181868.jpg,3877
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\169061.jpg,913
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\180272.jpg,913
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\199016.jpg,8027
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\197712.jpg,8027
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\105032.jpg,4929
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\030208.jpg,4929
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\104530.jpg,1104
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\015716.jpg,1104
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\021633.jpg,6983
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\037879.jpg,6983
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\141142.jpg,1167
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\026922.jpg,1167
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\102810.jpg,6456
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\136099.jpg,6456
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\062503.jpg,5437
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\047858.jpg,5437
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\125036.jpg,9478
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\090293.jpg,9478
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\068788.jpg,9093
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057623.jpg,9093
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\165747.jpg,3200
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\180761.jpg,3200
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\188370.jpg,6528
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\183409.jpg,6528
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\185992.jpg,9489
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\193008.jpg,9489
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\136280.jpg,310
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029303.jpg,310
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\059666.jpg,878
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\025950.jpg,878
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\079840.jpg,9939
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\059089.jpg,9939
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\141304.jpg,4870
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\006600.jpg,4870
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\027149.jpg,8908
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\115909.jpg,8908
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\048998.jpg,4968
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\140467.jpg,4968
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\037565.jpg,5099
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\148617.jpg,5099
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\173570.jpg,1350
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\166995.jpg,1350
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\189944.jpg,5872
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\182649.jpg,5872
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\186253.jpg,7088
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\193681.jpg,7088
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\093087.jpg,3655
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\161376.jpg,3655
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\015693.jpg,4659
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\037117.jpg,4659
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\202105.jpg,9632
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\183802.jpg,9632
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\063441.jpg,6277
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\005945.jpg,6277
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\080387.jpg,6233
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\038057.jpg,6233
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\037852.jpg,7103
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\017495.jpg,7103
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\098789.jpg,2835
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\095348.jpg,2835
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\005180.jpg,9300
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\129067.jpg,9300
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\055734.jpg,9534
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\046843.jpg,9534
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\051414.jpg,6972
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\003319.jpg,6972
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\174027.jpg,4185
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\167157.jpg,4185
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\155499.jpg,5591
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\085981.jpg,5591
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\064081.jpg,6722
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\011108.jpg,6722
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\032181.jpg,503
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\108763.jpg,503
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\184866.jpg,5033
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\186474.jpg,5033
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\188390.jpg,5791
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\197231.jpg,5791
